	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	9.387	8.942	-68.23	-0.624	-71.16	-51.67	-50.04	-82.06	9.044
	(14.58)	(16.53)	(14.60)	(1.284)	(13.12)	(11.92)	(17.01)	(19.83)	(3.112)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.118	0.095	0.388	0.080	0.337	0.420	0.372	0.205	0.026
CI_1_90_L	-16.49	-26.44	-90.91	-2.287	-95.97	-72.13	-78.97	-116.6	2.930
CI_1_90_H	73.26	74.55	-42.51	1.499	-52.05	-34.11	-16.96	-43.95	14.19
CI_1_95_L	-24.38	-35.16	-95.72	-2.663	-101.2	-76.32	-84.12	-124.2	1.797
CI_1_95_H	86.91	84.95	-36.20	1.786	-46.75	-30.26	-10.23	-34.96	15.46
CI_1_99_L	-67.97	-56.46	-107.7	-3.463	-112.6	-83.76	-98.40	-154.1	-0.727
CI_1_99_H	148.4	110.7	-13.10	2.160	-40.11	-24.35	0.857	-16.40	17.89
WID F-Stat	414.9	423.2	336.7	336.7	336.7	336.7	336.7	336.7	420.6
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
