	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	13.02	12.56	-90.24	-0.637	-93.80	-68.20	-66.24	-108.6	11.67
	(18.19)	(20.63)	(20.07)	(1.704)	(18.04)	(16.36)	(23.09)	(26.51)	(4.076)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.120	0.099	0.377	0.080	0.333	0.420	0.370	0.189	0.027
CI_1_90_L	-17.99	-28.43	-122.7	-2.789	-128.2	-97.97	-105.9	-154.9	3.997
CI_1_90_H	80.19	86.28	-54.38	2.060	-67.74	-44.33	-22.02	-59.17	18.35
CI_1_95_L	-26.72	-38.66	-131.8	-3.281	-135.8	-103.5	-114.2	-167.6	2.757
CI_1_95_H	92.28	99.54	-46.69	2.379	-60.95	-37.62	-13.04	-48.71	19.63
CI_1_99_L	-71.32	-62.83	-147.5	-4.532	-152.3	-117.6	-137.6	-200.6	-0.692
CI_1_99_H	146.4	138.8	-14.52	2.912	-50.55	-30.21	6.185	-22.46	22.31
WID F-Stat	306.5	312.7	272.8	272.8	272.8	272.8	272.8	272.8	310.8
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
