	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.00744	0.0121	-0.484	-0.00769	-0.494	-0.350	-0.350	-0.616	0.0668
	(0.119)	(0.135)	(0.0860)	(0.00757)	(0.0931)	(0.0818)	(0.110)	(0.113)	(0.0141)
									
Observations	353	356	401	401	401	401	401	401	355
R-squared	0.088	0.061	0.382	0.081	0.325	0.402	0.359	0.213	0.024
CI_1_90_L	-0.381	-0.395	-0.632	-0.0176	-0.737	-0.510	-0.560	-0.825	0.0420
CI_1_90_H	0.732	0.840	-0.360	0.0107	-0.336	-0.243	-0.149	-0.431	0.0874
CI_1_95_L	-0.565	-0.584	-0.658	-0.0200	-0.801	-0.521	-0.629	-0.878	0.0365
CI_1_95_H	1.015	1.172	-0.330	0.0132	-0.305	-0.226	-0.109	-0.390	0.0920
CI_1_99_L	-1.086	-1.220	-0.717	-0.0249	-0.914	-0.585	-0.712	-0.961	0.0174
CI_1_99_H	1.562	1.757	-0.165	0.0194	-0.247	-0.181	0.0615	-0.173	0.103
WID F-Stat	1572	1603	1221	1221	1221	1221	1221	1221	1591
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
