	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	10.15	11.49	-87.00	-1.285	-88.40	-68.79	-70.11	-99.10	11.86
	(16.59)	(19.10)	(15.53)	(1.307)	(9.315)	(10.26)	(19.07)	(23.18)	(3.693)
									
Observations	351	354	399	399	399	399	399	399	353
R-squared	0.117	0.104	0.359	0.078	0.326	0.403	0.348	0.184	0.026
CI_1_90_L	-19.26	-30.97	-111.9	-2.837	-103.2	-85.86	-111.7	-147	4.918
CI_1_90_H	118.6	131.3	-52.36	2.038	-73.30	-41.63	-20.70	-54.35	18.08
CI_1_95_L	-25.31	-39.33	-118	-3.158	-105	-90.05	-125.7	-163.6	2.753
CI_1_95_H	135.4	157.1	-45.45	2.817	-70.07	-35.40	0.575	-44.81	19.74
CI_1_99_L	-52.52	-79.77	-131.4	-3.994	-108.4	-99.40	-146.8	-193.2	-0.650
CI_1_99_H	175.9	211.4	-24.09	4.230	-65.51	-22.78	38.30	-20.47	22.85
WID F-Stat	413.2	420.5	390.4	390.4	390.4	390.4	390.4	390.4	419.1
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	11	11	12	12	12	12	12	12	11
