	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.0688	0.0759	-0.651	-0.00742	-0.671	-0.477	-0.466	-0.803	0.0852
	(0.138)	(0.157)	(0.150)	(0.0122)	(0.137)	(0.137)	(0.180)	(0.189)	(0.0263)
									
Observations	353	356	401	401	401	401	401	401	355
R-squared	0.106	0.088	0.403	0.079	0.347	0.429	0.381	0.213	0.025
CI_1_90_L	-0.224	-0.258	-0.912	-0.0238	-1.019	-0.811	-0.821	-1.113	0.0350
CI_1_90_H	0.629	0.772	-0.386	0.0151	-0.483	-0.279	-0.119	-0.397	0.130
CI_1_95_L	-0.328	-0.370	-0.959	-0.0280	-1.077	-0.858	-0.942	-1.185	0.0211
CI_1_95_H	0.823	0.953	-0.318	0.0191	-0.437	-0.244	-0.0569	-0.345	0.140
CI_1_99_L	-0.647	-0.742	-1.083	-0.0361	-1.152	-0.991	-1.209	-1.439	-0.00805
CI_1_99_H	1.537	1.317	-0.0624	0.0256	-0.259	-0.163	0.159	-0.0150	0.163
WID F-Stat	723.9	738.9	624.9	624.9	624.9	624.9	624.9	624.9	734.5
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
