	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.0643	0.0911	-0.567	-0.00809	-0.579	-0.397	-0.391	-0.690	0.0790
	(0.105)	(0.119)	(0.161)	(0.00913)	(0.146)	(0.154)	(0.187)	(0.179)	(0.0265)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.103	0.084	0.390	0.079	0.321	0.399	0.358	0.219	0.019
CI_1_90_L	-0.177	-0.218	-1.228	-0.0189	-1.028	-1.299	-1.003	-1.156	0.0196
CI_1_90_H	0.512	0.738	-0.253	0.0157	-0.374	-0.153	0.0137	-0.205	0.136
CI_1_95_L	-0.252	-0.285	-1.438	-0.0207	-1.089	-1.457	-1.282	-1.501	0.00408
CI_1_95_H	0.652	0.985	-0.190	0.0210	-0.321	-0.112	0.0787	-0.0736	0.154
CI_1_99_L	-0.476	-0.457	-1.893	-0.0250	-1.205	-2.001	-1.862	-2.610	-0.0275
CI_1_99_H	0.848	1.445	0.0140	0.0319	-0.203	0.0535	0.475	0.239	0.180
WID F-Stat	1877	1916	1637	1637	1637	1637	1637	1637	1903
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
