	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.0448	0.0631	-0.431	-0.00628	-0.441	-0.301	-0.295	-0.531	0.0606
	(0.0856)	(0.0969)	(0.121)	(0.00688)	(0.109)	(0.115)	(0.140)	(0.138)	(0.0204)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.100	0.079	0.386	0.080	0.319	0.395	0.353	0.220	0.019
CI_1_90_L	-0.168	-0.204	-0.845	-0.0150	-0.759	-0.859	-0.728	-0.916	0.0132
CI_1_90_H	0.442	0.590	-0.193	0.0123	-0.289	-0.120	0.00334	-0.141	0.107
CI_1_95_L	-0.236	-0.274	-0.996	-0.0164	-0.807	-0.962	-0.884	-1.127	0.00200
CI_1_95_H	0.558	0.800	-0.155	0.0160	-0.249	-0.0855	0.0493	-0.0429	0.120
CI_1_99_L	-0.450	-0.420	-1.177	-0.0194	-0.881	-1.179	-1.145	-1.627	-0.0214
CI_1_99_H	0.744	1.249	0.0618	0.0240	-0.165	0.0184	0.334	0.235	0.137
WID F-Stat	2050	2091	1759	1759	1759	1759	1759	1759	2078
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
