	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	10.75	7.029	-76.47	-1.131	-86.96	-61.84	-57.79	-88.16	11.49
	(18.21)	(20.98)	(12.32)	(1.296)	(9.958)	(7.443)	(14.73)	(22.30)	(3.964)
									
Observations	350	353	398	398	398	398	398	398	352
R-squared	0.118	0.087	0.370	0.079	0.324	0.410	0.363	0.188	0.026
CI_1_90_L	-24.89	-54.57	-100.2	-3.156	-102.7	-75.88	-95.35	-133.9	4.287
CI_1_90_H	154.1	137.9	-54.74	1.469	-69.96	-44.44	-20.23	-47.56	18.66
CI_1_95_L	-34.94	-76.17	-105.3	-3.522	-105.2	-79.39	-114.2	-147.7	1.393
CI_1_95_H	186.6	194.2	-48.06	2.149	-66.13	-40.70	-14.25	-38.30	20.16
CI_1_99_L	-63.40	-177.1	-125.2	-4.920	-109.3	-86.34	-145.5	-188.6	-4.161
CI_1_99_H	243.7	283	-37.86	4.181	-53.03	-34.52	-1.853	-7.190	22.40
WID F-Stat	383.8	390	383.5	383.5	383.5	383.5	383.5	383.5	388.9
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	10	10	11	11	11	11	11	11	10
