	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	7.506	4.358	-68.67	-1.440	-76.88	-51.39	-47.77	-84.26	10.90
	(17.41)	(20.03)	(14.24)	(1.354)	(14.00)	(12.41)	(16.80)	(21.49)	(3.653)
									
Observations	351	354	399	399	399	399	399	399	353
R-squared	0.110	0.076	0.376	0.077	0.330	0.412	0.364	0.191	0.026
CI_1_90_L	-27.24	-48.80	-98.03	-3.284	-110.3	-80.45	-81.48	-122.9	4.200
CI_1_90_H	123.5	97.79	-43.05	2.095	-54.60	-34.94	-19.41	-41.08	16.26
CI_1_95_L	-39.38	-69.52	-105.3	-3.733	-114.4	-85.77	-95.65	-133.2	2.552
CI_1_95_H	150.2	130.3	-33.20	2.987	-48.58	-33.32	-15.22	-31.41	17.46
CI_1_99_L	-98.90	-121.3	-119.5	-4.458	-125.6	-96.68	-126.1	-154.5	-1.113
CI_1_99_H	232.4	232.7	-7.385	5.107	-35.08	-24.43	5.061	10.99	21.11
WID F-Stat	413.4	421.1	412.6	412.6	412.6	412.6	412.6	412.6	419.1
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	11	11	12	12	12	12	12	12	11
