	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.910	1.025	-41.34	-0.613	-42.45	-30.49	-30.42	-51.77	5.716
	(10.16)	(11.43)	(6.572)	(0.610)	(7.377)	(5.724)	(8.281)	(9.214)	(1.166)
									
Observations	353	356	401	401	401	401	401	401	355
R-squared	0.089	0.061	0.371	0.082	0.319	0.397	0.354	0.203	0.024
CI_1_90_L	-30.42	-33	-50.96	-1.410	-60.68	-39.16	-44.31	-68.51	3.746
CI_1_90_H	62.86	73.29	-31.48	0.709	-28.05	-23.19	-15.45	-38.15	7.389
CI_1_95_L	-45.95	-49.96	-52.21	-1.623	-66.39	-39.89	-48.41	-71.01	3.230
CI_1_95_H	80.37	97.30	-29.20	0.933	-25.27	-21.67	-11.75	-35.01	7.562
CI_1_99_L	-88.54	-107.4	-56.37	-1.955	-75.31	-44.39	-54.90	-76.62	2.156
CI_1_99_H	126	136.3	-16.72	1.394	-18.68	-19.42	1.093	-16.73	8.725
WID F-Stat	1037	1058	817.2	817.2	817.2	817.2	817.2	817.2	1050
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
