	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	8.245	8.336	-64.56	-0.684	-67.40	-48.95	-47.51	-76.63	8.580
	(13.75)	(15.53)	(12.63)	(1.140)	(10.20)	(10.41)	(15.61)	(17.64)	(2.720)
									
Observations	353	356	401	401	401	401	401	401	355
R-squared	0.113	0.095	0.374	0.079	0.327	0.408	0.360	0.198	0.025
CI_1_90_L	-19.36	-23.30	-83.76	-2.359	-86.06	-67.97	-75.08	-107	3.624
CI_1_90_H	66.33	81.62	-39.89	1.182	-53.21	-32.25	-13.19	-38.27	13.27
CI_1_95_L	-29.59	-34.26	-87.44	-2.748	-88.94	-71.45	-83.62	-113.1	2.322
CI_1_95_H	80.79	96.99	-34.92	1.462	-49.67	-30.02	-7.344	-30.60	14.25
CI_1_99_L	-65.57	-75.24	-94.90	-3.912	-93.19	-77.57	-97.17	-132.3	-0.523
CI_1_99_H	152.8	135.1	-13.31	2.084	-39.12	-24.01	7.672	2.029	16.85
WID F-Stat	443.2	452.2	382.3	382.3	382.3	382.3	382.3	382.3	449.4
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
