	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	0.134	0.252	-32.39	-0.530	-32.94	-23.45	-23.49	-41.25	4.635
	(8.171)	(9.224)	(5.096)	(0.488)	(6.349)	(5.013)	(6.679)	(6.556)	(0.905)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.089	0.057	0.381	0.081	0.324	0.399	0.354	0.218	0.019
CI_1_90_L	-26.61	-34.95	-40.10	-1.081	-49.25	-32.57	-35.64	-51.92	2.976
CI_1_90_H	58.78	62.05	-25.22	0.651	-21.86	-17.27	-12.10	-31.23	5.928
CI_1_95_L	-36.73	-44.64	-41.22	-1.213	-53.31	-33.51	-38.02	-54.03	2.592
CI_1_95_H	71.80	84.64	-24.15	0.846	-20.01	-16.31	-9.839	-29.12	6.207
CI_1_99_L	-82.05	-80.23	-43.80	-1.431	-62.19	-35.37	-43.11	-59.70	1.673
CI_1_99_H	101	108.7	-18.76	1.186	-16.38	-13.70	-1.330	-24.74	6.849
WID F-Stat	1696	1727	1244	1244	1244	1244	1244	1244	1716
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
