	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	ADRBlue	BCS	INDEX_US	OfficialRate	ValueBankINDEXNew_US	ValueINDEXNew_US	ValueNonFinINDEXNew_US	YPF_US	dolarblue
									
cds_	5.799	4.019	-63.75	-0.564	-66.54	-48.83	-47.58	-78.30	8.497
	(15.97)	(17.49)	(12.29)	(1.194)	(11.84)	(8.770)	(13.67)	(18.34)	(2.718)
									
Observations	355	358	405	405	405	405	405	405	357
R-squared	0.106	0.073	0.389	0.081	0.341	0.424	0.373	0.205	0.025
CI_1_90_L	-26.70	-37.81	-85.12	-2.154	-86.47	-64.01	-72.59	-116	3.675
CI_1_90_H	90.77	77.21	-43.34	1.377	-46.34	-36.81	-23.40	-47.96	13.18
CI_1_95_L	-39.88	-49.58	-89.11	-2.540	-91.79	-66.94	-77.57	-128.1	2.137
CI_1_95_H	113.2	90.41	-37.57	1.616	-41.40	-33.99	-17.69	-40.84	14.21
CI_1_99_L	-118.6	-83.02	-103	-3.699	-101.4	-75.16	-87.05	-146.8	-0.357
CI_1_99_H	164.2	127.6	-18.65	2.117	-35.52	-27.61	-4.478	-17.57	16.30
WID F-Stat	461.7	469.3	350.2	350.2	350.2	350.2	350.2	350.2	467.2
Num Firms	1	1	1	1	1	1	1	1	1
Num Events	14	14	15	15	15	15	15	15	14
